Caltech CMS Tier2	CIT_CMS_Cloud	CIT_ITB2	samir-test-ce.cern.ch	NULL	NULL
ClemsonCS	Clemson-Birdnest	Clemson-Birdnest	birdnest.cs.clemson.edu	NULL	NULL
ClemsonCS	Clemson-ciTeam	Clemson-ciTeam	osgce.cs.clemson.edu	NULL	NULL
Clemson IT	Clemson-IT	Clemson-IT	osggate.clemson.edu	NULL	NULL
Clemson IT	Clemson-Palmetto	Clemson-Palmetto	osg-ce.clemson.edu	0	NULL
CAS-CNIC	CNIC-CIGI-OSG	CNIC-OSG	osg.cnic.cn	NULL	NULL
CAS-CNIC	CNIC-CIGI-OSG	CNIC-OSG-SE	se.osg.cnic.cn	NULL	NULL
ILS	cns	cns1	cns1.cns.iu.edu	NULL	NULL
ILS	cns	cns2	cns2.cns.iu.edu	NULL	NULL
OSG GOC	Condor_Collectors	collector-itb	collector-itb.opensciencegrid.org	NULL	NULL
IU UITS	Condor collectors	collector1	collector1.opensciencegrid.org	NULL	NULL
IU UITS	Condor collectors	collector2	collector2.opensciencegrid.org	NULL	NULL
Nebraska-Omaha	Crane	Crane-CE1	crane-gw1.unl.edu	0	T2_US_Nebraska
UCSD OSG	CrossOSG Nodes	CrossOSG-CE-UCSD	osg-glidein-ce.t2.ucsd.edu	NULL	NULL
IU UITS	CSIU Services	CSIU Submit	csiu-submit.grid.iu.edu	NULL	NULL
UC Davis CMS T3	Davis_CMS	Davis_CMS	cms.physics.ucdavis.edu	NULL	NULL
AGLT2	AGLT2	DEPRECATE MSU LAT	not.used	NULL	NULL
AGLT2	AGLT2	DEPRECATED UM LAT BW	not.used	NULL	NULL
Discovery	Discovery	Discovery_PerfSonar_Bandwidth	perfsonar02.discovery.wisc.edu	NULL	NULL
Discovery	Discovery	Discovery_PerfSonar_Latency	perfsonar01.discovery.wisc.edu	NULL	NULL
DukeTier3	DukeT3	Duke_ATLAS_gridftp	atlgridftp01.phy.duke.edu	0	NULL
DukeTier3	DukeT3	DukeT3_SQUID	atlhn02.phy.duke.edu	NULL	NULL
DukeTier3	DukeT3	DUKET3-SE	atlfs02.phy.duke.edu	0	NULL
GOC Staff VM	ECHISM-GOC	E_HTCCE	ece3.grid.iu.edu	NULL	NULL
GOC Staff VM	ECHISM-GOC	ECE	echism.grid.iu.edu	NULL	NULL
GOC Staff VM	ECHISM-GOC	ECE2	ece2.grid.iu.edu	NULL	NULL
RENCI	Engagement Infrastructure	Engage-Submit3-Frontend	engage-submit3.renci.org	NULL	NULL
RENCI	Engagement_VOMS	Engagement_VOMS	osg-engage.renci.org	NULL	NULL
WIX	WIX PerfSONAR	ESnet LHCONE perfSONAR Washington	lhcone-wash-opt1.es.net	NULL	NULL
STAR	Starlight perfSONARs	ESnet Starlight perfSONAR	lhcone-star-opt1.es.net	NULL	NULL
FermiGrid	FNAL_FIFE_SUBMIT	FIFE_SUBMIT_1	fifebatch1.fnal.gov	NULL	NULL
FermiGrid	FNAL_FIFE_SUBMIT	FIFE_SUBMIT_GPSN01	gpsn01.fnal.gov	NULL	NULL
FermiGrid	FNAL_FIFE_SUBMIT	FIFE_UCSD_FRONTEND_01	sngpvm02.fnal.gov	NULL	NULL
FermiGrid	FNAL_FIFE_SUBMIT	FIFEBATCH2	fifebatch2.fnal.gov	NULL	NULL
Nebraska-Omaha	Firefly	Firefly	ff-grid.unl.edu	0	NULL
Nebraska-Omaha	Firefly	Firefly_SE	ff-se.unl.edu	0	NULL
Nebraska-Omaha	Firefly	Firefly-2	ff-grid2.unl.edu	0	NULL
Nebraska-Omaha	Firefly	Firefly-3	ff-grid3.unl.edu	NULL	NULL
CHEPREO	FIU-PG	FIU-PG	fiupg.ampath.net	NULL	NULL
FIU CMS Tier3	FIUPG	FIUPG	fiupg.hep.fiu.edu	0	T3_US_FIU
FIU CMS Tier3	FIUPG	FIUSE	srm.hep.fiu.edu	NULL	NULL
APCR-DRDL	FloridaAMUniversity	FloridaAMUniversity_CE	xserve.physics.famu.edu	NULL	NULL
Florida Tech	FLTECH	FLTECH	uscms1.fltech-grid3.fit.edu	0	NULL
Florida Tech	FLTECH	FLTECH-ITB	gridtest.fit.edu	NULL	NULL
Florida Tech	FLTECH	FLTECH-MGMT	uscms1-mgmt.fltech-grid3.fit.edu	NULL	NULL
Florida Tech	FLTECH	FLTECH-SE	uscms1-se.fltech-grid3.fit.edu	0	NULL
FermiGrid	FNAL_FERMIGRID	FNAL_CDFOSG_0	fcdfosg0.fnal.gov	NULL	NULL
FermiGrid	FNAL_FERMIGRID	FNAL_CDFOSG_1	fcdfosg1.fnal.gov	NULL	NULL
FermiGrid	FNAL_FERMIGRID	FNAL_CDFOSG_2	fcdfosg2.fnal.gov	NULL	NULL
FermiGrid	FNAL_FERMIGRID	FNAL_CDFOSG_3	fcdfosg3.fnal.gov	NULL	NULL
FermiGrid	FNAL_FERMIGRID	FNAL_CDFOSG_4	fcdfosg4.fnal.gov	NULL	NULL
FermiGrid	FNAL_FERMIGRID	FNAL_DZEROOSG_1	d0cabosg1.fnal.gov	NULL	NULL
FermiGrid	FNAL_FERMIGRID	FNAL_DZEROOSG_2	d0cabosg2.fnal.gov	NULL	NULL
FermiGrid	FNAL_FERMIGRID	FNAL_DZEROOSG_3	d0cabosg3.fnal.gov	NULL	NULL
FermiGrid	FNAL_FERMIGRID	FNAL_DZEROOSG_4	d0cabosg4.fnal.gov	NULL	NULL
FermiGrid	FNAL_FAPL_ITB_SE	FNAL_FAPL_ITB_SE	fapl032.fnal.gov	NULL	NULL
FermiGrid	FNAL_FERMIGRID	FNAL_FERMIGRID	fermigridosg1.fnal.gov	0	NULL
FermiGrid	FNAL_FERMIGRID_ITB	FNAL_FERMIGRID_ITB	fgitbgkc2.fnal.gov	0	NULL
FermiGrid	FNAL_FERMIGRID_ITB	FNAL_FERMIGRID_ITB_PBS2	fgitbgkp2.fnal.gov	NULL	NULL
FermiGrid	FNAL_FERMIGRID_ITB	FNAL_FERMIGRID_ITB_SGE2	fgitbgks2.fnal.gov	NULL	NULL
FermiGrid	FNAL_FERMIGRID_TEST	FNAL_FERMIGRID_TEST	fgtest1.fnal.gov	NULL	NULL
FermiGrid	FNAL_GPFARM	FNAL_GPFARM	fngp-osg.fnal.gov	NULL	NULL
FermiGrid	FNAL_GPGRID_1	FNAL_GPGRID_1	fnpcosg1.fnal.gov	0	NULL
FermiGrid	FNAL_FERMIGRID	FNAL_GPGRID_2	fnpcfg1.fnal.gov	NULL	NULL
FermiGrid	FNAL_FERMIGRID	FNAL_GPGRID_3	fnpcfg2.fnal.gov	NULL	NULL
FermiGrid	FNAL_FERMIGRID	FNAL_GPGRID_OPP_3	fnpcfg3.fnal.gov	NULL	NULL
FermiGrid	FNAL_FERMIGRID	FNAL_GPGRID_QUOTA_3	fnpcfg4.fnal.gov	NULL	NULL
FermiGrid	FNAL_IF_GRIDFTP	FNAL_IF_GRIDFTP_NOVA	if-gridftp-nova.fnal.gov	NULL	NULL
FermiGrid	FNAL_FERMIGRID_ITB	FNAL-ITB-GIP-TEST1	fg0x5.fnal.gov	NULL	NULL
Florida State HEP	FSU-HEP	FSU-HEP	ce.hep.fsu.edu	0	NULL
CSU Fresno T3	FRESNO-ATLAS-T3	FSU-TEST-SE	t3nfs.atlas.csufresno.edu	NULL	NULL
FZU	FZU	FZU_NOVA	novastore.farm.particle.cz	NULL	NULL
OSGSC_UC	GC1	GC1_CE	gc1-ce.uchicago.edu	NULL	NULL
OSGSC_UC	GC1	GC1_SE	gc1-se.uchicago.edu	NULL	NULL
FermiGrid	OSG-ReSS	gc1-ce	unab.edu.co	NULL	NULL
GC_PUJ	GCVO_PUJ	GCVO_PUJ_CE	gc1-ce.javeriana.edu.co	NULL	NULL
GC_PUJ	GCVO_PUJ	GCVO_PUJ_CE_TEST	gc2-ce.javeriana.edu.co	NULL	NULL
GC_PUJ	GCVO_PUJ	GCVO_PUJ_GUMS	gc1-gums.javeriana.edu.co	NULL	NULL
GC_UAC	GCVO_UAC	GCVO_UAC_CE	gc1-ce.uac.edu.co	NULL	NULL
GC_UAM	GCVO_UAM	GCVO_UAM_CE	ce.autonoma.edu.co	NULL	NULL
GC_UC	GCVO_UC	GCVO_UC_CE	gc.ucatolica.edu.co	NULL	NULL
GC_UCALDAS	GCVO_UCALDAS	GCVO_UCALDAS_CE	c-head.ucaldas.edu.co	NULL	NULL
GC_UDEM	GCVO_UDEM	GCVO_UDEM_CE	gck-ce.udem.edu.co	NULL	NULL
GC_UIS	GCVO_UIS	GCVO_UIS_CE	gcb-ce.uis.edu.co	NULL	NULL
GC_UNIANDES	GCVO_Uniandes	GCVO_UNIANDES_CE	kuragua.uniandes.edu.co	NULL	NULL
GC_UPB	GCVO_UPB	GCVO_UPB_CE	gc2-ce.medellin.upb.edu.co	NULL	NULL
GC_UTB	GCVO_UTB	GCVO_UTB_CE	grid.unitecnologica.edu.co	NULL	NULL
GC_UV	GCVO_UV	GCVO_UV_CE	ce-eisc-02.univalle.edu.co	NULL	NULL
Georgia Tech	Georgia Tech LIGO	Georgia_Tech_LIGO_Submit_1	ligo-6.pace.gatech.edu	NULL	NULL
Georgia Tech	Georgia Tech PACE	Georgia_Tech_PACE_CE_1	ligo-ce1.pace.gatech.edu	NULL	NULL
Georgia Tech	Georgia Tech PACE	Georgia_Tech_PACE_GridFTP	ligo-gftp.pace.gatech.edu	NULL	NULL
Georgia Tech	Georgia Tech PACE	Georgia_Tech_PACE_Squid_1	ligo-prx.pace.gatech.edu	NULL	NULL
GLOW	GLOW	GLOW	cmsgrid01.hep.wisc.edu	9.632	T2_US_Wisconsin
UCSB_MRL\t	GLOW_MINIOSG_UCSB	GLOW_MINIOSG_UCSB	quiver.mrl.ucsb.edu	NULL	NULL
GLOW	GLOW	GLOW_SQUID	frontier.hep.wisc.edu	NULL	NULL
GLOW	GLOW	GLOW_SUBMIT1	login01.hep.wisc.edu	0	T2_US_Wisconsin
GLOW	GLOW	GLOW_SUBMIT2	login02.hep.wisc.edu	0	T2_US_Wisconsin
GLOW	GLOW	GLOW_SUBMIT3	login03.hep.wisc.edu	0	T2_US_Wisconsin
GLOW	GLOW	GLOW_SUBMIT4	login04.hep.wisc.edu	0	T2_US_Wisconsin
GLOW ATLAS	GLOW-ATLAS	GLOW-ATLAS	higgs08.cs.wisc.edu	NULL	NULL
GLOW ATLAS	GLOW-ATLAS-SRM	GLOW-ATLAS-SRM	atlas07.cs.wisc.edu	NULL	NULL
CHTC	CHTC	GLOW-CHTC VOMS server	glow-voms.cs.wisc.edu	NULL	NULL
GLOW	GLOW	GLOW-CMS	cmsgrid02.hep.wisc.edu	0	T2_US_Wisconsin
GLOW	GLOW	GLOW-CMS-SE	cmssrm.hep.wisc.edu	0	T2_US_Wisconsin
GLOW	GLOW	GLOW-CONDOR-CE	cmsgrid03.hep.wisc.edu	0	T2_US_Wisconsin
GLOW	GLOW	GLOW-OSG	osggrid01.hep.wisc.edu	NULL	NULL
UConn-OSG	UConn-OSG	Gluex_VOMRS	gryphn.phys.uconn.edu	NULL	NULL
UConn-OSG	UConn-OSG	Gluex_VOMS	gryphn.phys.uconn.edu	NULL	NULL
IU GOC GLIDEIN	GOC glidein	GOC glidein	glidein.grid.iu.edu	NULL	NULL
IU UITS	GOC_VOMS	GOC Voms	voms.grid.iu.edu	NULL	NULL
IU UITS	GOC_Authorization_Services	GOC_Auth_Services	jazmine.grid.iu.edu	NULL	NULL
IU UITS	GOC_BDII	GOC_BDII_1	is1.grid.iu.edu	NULL	NULL
IU UITS	GOC_BDII	GOC_BDII_2	is2.grid.iu.edu	NULL	NULL
IU UITS	GOC_BDII_ITB	GOC_BDII_ITB_1	is-itb1.grid.iu.edu	NULL	NULL
IU UITS	GOC_BDII_ITB	GOC_BDII_ITB_2	is-itb2.grid.iu.edu	NULL	NULL
OSG GOC	GOC_ITB	GOC_ITB_CE	ce.grid.iu.edu	0	NULL
IU UITS	GOC_OIM	GOC_OIM	oim.grid.iu.edu	NULL	NULL
IU UITS	GOC Perfsonar Toolkits	GOC_Perfsonar_Bandwidth	perfsonar-bw.grid.iu.edu	NULL	NULL
IU UITS	GOC Perfsonar Toolkits	GOC_Perfsonar_Latency	perfsonar-lt.grid.iu.edu	NULL	NULL
IU UITS	GOC_Repo	GOC_Repo_1	repo1.grid.iu.edu	NULL	NULL
IU UITS	GOC_Repo	GOC_Repo_2	repo2.grid.iu.edu	NULL	NULL
IU UITS	GOC_Software_Cache	GOC_Software_Cache_1	software1.grid.iu.edu	NULL	NULL
IU UITS	GOC_Software_Cache	GOC_Software_Cache_2	software2.grid.iu.edu	NULL	NULL
